Time [s], Analyzer Name, Decoded Protocol Result
0.003727656250000,I2S / PCM,Ch 2: 0x000100
0.003738062500000,I2S / PCM,Ch 1: 0xFFFE5C
0.003748500000000,I2S / PCM,Ch 2: 0xFFFEC4
0.003758906250000,I2S / PCM,Ch 1: 0xFFFCB2
0.003769343750000,I2S / PCM,Ch 2: 0xFFFCED
0.003779750000000,I2S / PCM,Ch 1: 0xFFFFF1
0.003790187500000,I2S / PCM,Ch 2: 0x00000B
0.003800625000000,I2S / PCM,Ch 1: 0xFFFE81
0.003811031250000,I2S / PCM,Ch 2: 0x0001C8
0.003821468750000,I2S / PCM,Ch 1: 0xFFF84C
0.003831875000000,I2S / PCM,Ch 2: 0xFFF6A5
0.003842312500000,I2S / PCM,Ch 1: 0xFFFEF7
0.003852718750000,I2S / PCM,Ch 2: 0xFFFF4D
0.003863156250000,I2S / PCM,Ch 1: 0x00028F
0.003873562500000,I2S / PCM,Ch 2: 0xFFFF8B
0.003884000000000,I2S / PCM,Ch 1: 0x0001A8
0.003894406250000,I2S / PCM,Ch 2: 0x000100
0.003904843750000,I2S / PCM,Ch 1: 0xFFFE5C
0.003915250000000,I2S / PCM,Ch 2: 0xFFFEC4
0.003925687500000,I2S / PCM,Ch 1: 0xFFFCB2
0.003936093750000,I2S / PCM,Ch 2: 0xFFFCED
0.003946531250000,I2S / PCM,Ch 1: 0x0001EA
0.003956968750000,I2S / PCM,Ch 2: 0xFFFFB8
0.003967375000000,I2S / PCM,Ch 1: 0x000226
0.003977812500000,I2S / PCM,Ch 2: 0x0000C7
0.003988218750000,I2S / PCM,Ch 1: 0xFFFD6B
0.003998656250000,I2S / PCM,Ch 2: 0xFFFD09
0.004009062500000,I2S / PCM,Ch 1: 0x0001C2
0.004019500000000,I2S / PCM,Ch 2: 0x0002BC
0.004029906250000,I2S / PCM,Ch 1: 0x00020D
0.004040343750000,I2S / PCM,Ch 2: 0x000335
0.004050750000000,I2S / PCM,Ch 1: 0xFFFF09
0.004061187500000,I2S / PCM,Ch 2: 0xFFFDCB
0.004071593750000,I2S / PCM,Ch 1: 0x0009FF
0.004082031250000,I2S / PCM,Ch 2: 0x000AF2
0.004092468750000,I2S / PCM,Ch 1: 0x000220
0.004102875000000,I2S / PCM,Ch 2: 0x00037E
0.004113312500000,I2S / PCM,Ch 1: 0x0001EA
0.004123718750000,I2S / PCM,Ch 2: 0xFFFFB8
0.004134156250000,I2S / PCM,Ch 1: 0x000226
0.004144562500000,I2S / PCM,Ch 2: 0xFFFF84
0.004155000000000,I2S / PCM,Ch 1: 0x000262
0.004165406250000,I2S / PCM,Ch 2: 0x00028F
0.004175843750000,I2S / PCM,Ch 1: 0xFFFF68
0.004186250000000,I2S / PCM,Ch 2: 0xFFFF43
0.004196687500000,I2S / PCM,Ch 1: 0x000539
0.004207093750000,I2S / PCM,Ch 2: 0x00052C
0.004217531250000,I2S / PCM,Ch 1: 0xFFFF79
0.004227937500000,I2S / PCM,Ch 2: 0xFFFDCB
0.004238375000000,I2S / PCM,Ch 1: 0x0009FF
0.004248812500000,I2S / PCM,Ch 2: 0x000AF2
0.004259218750000,I2S / PCM,Ch 1: 0x000220
0.004269656250000,I2S / PCM,Ch 2: 0x00037E
0.004280062500000,I2S / PCM,Ch 1: 0x000044
0.004290500000000,I2S / PCM,Ch 2: 0x0000FD
0.004300906250000,I2S / PCM,Ch 1: 0x00010A
0.004311343750000,I2S / PCM,Ch 2: 0x0000B7
0.004321750000000,I2S / PCM,Ch 1: 0xFFFDEB
0.004332187500000,I2S / PCM,Ch 2: 0xFFFC89
0.004342593750000,I2S / PCM,Ch 1: 0x00021D
0.004353031250000,I2S / PCM,Ch 2: 0xFFFF1D
0.004363437500000,I2S / PCM,Ch 1: 0x00010F
0.004373875000000,I2S / PCM,Ch 2: 0xFFFF7F
0.004384281250000,I2S / PCM,Ch 1: 0x0000AB
0.004394718750000,I2S / PCM,Ch 2: 0x0000A4
0.004405156250000,I2S / PCM,Ch 1: 0xFFFFDF
0.004415562500000,I2S / PCM,Ch 2: 0x000047
0.004426000000000,I2S / PCM,Ch 1: 0x0000D1
0.004436406250000,I2S / PCM,Ch 2: 0x000114
0.004446843750000,I2S / PCM,Ch 1: 0x000044
0.004457250000000,I2S / PCM,Ch 2: 0x0000FD
0.004467687500000,I2S / PCM,Ch 1: 0x00010A
0.004478093750000,I2S / PCM,Ch 2: 0x0000D1
0.004488531250000,I2S / PCM,Ch 1: 0x00018B
0.004498937500000,I2S / PCM,Ch 2: 0x000197
0.004509375000000,I2S / PCM,Ch 1: 0xFFFC79
0.004519781250000,I2S / PCM,Ch 2: 0xFFFD9B
0.004530218750000,I2S / PCM,Ch 1: 0x0001F2
0.004540625000000,I2S / PCM,Ch 2: 0x00025B
0.004551062500000,I2S / PCM,Ch 1: 0x000092
0.004561500000000,I2S / PCM,Ch 2: 0x0000A4
0.004571906250000,I2S / PCM,Ch 1: 0xFFFFDF
